Source,Target,Weight,Sigmoid
203666,28643625,9,0.9998766054240137
25126616,16241224,0,0.5
15171934,3623050,0,0.5
24560307,5932749,6,0.9975273768433653
2935735,4591033,3,0.9525741268224334
9461481,28366058,6,0.9975273768433653
25537901,25538333,0,0.5
4025121,16851127,1,0.7310585786300049
10969551,8711353,22,0.9999999997210531
24560307,13346571,3,0.9525741268224334
1857825,2410676,0,0.5
11421378,167174,0,0.5
11421378,3955647,0,0.5
8843683,1787757,0,0.5
671825,729744,5,0.9933071490757153
17784299,21548299,0,0.5
206084,26992831,0,0.5
9530789,9325315,0,0.5
9325315,9530789,0,0.5
1801829,2649031,0,0.5
11808187,5187096,0,0.5
588600,71019,0,0.5
9461481,7691631,0,0.5
11589713,9461481,1,0.7310585786300049
11778024,16819795,0,0.5
714074,14663768,0,0.5
14159669,3623050,3,0.9525741268224334
19294390,9029977,0,0.5
21357099,321278,0,0.5
2081289,14448779,10,0.9999546021312976
10707658,16297763,5,0.9933071490757153
27022174,2476855,0,0.5
8569918,9615328,0,0.5
606956,128476,1,0.7310585786300049
28366058,7691631,9,0.9998766054240137
7786818,3038446,0,0.5
17752746,3016562,0,0.5
22521888,10616272,0,0.5
238972,13347640,3,0.9525741268224334
13512328,11225014,0,0.5
104937,27,0,0.5
15601851,23899906,1,0.7310585786300049
2351391,2351384,0,0.5
108278,15090814,0,0.5
14981376,1181927,6,0.9975273768433653
2014929,1385122,0,0.5
9403933,23198783,0,0.5
8962829,14169882,15,0.999999694097773
24835467,22187098,0,0.5
5710178,5710341,0,0.5
843222,654608,2,0.8807970779778823
27193779,3342055,5,0.9933071490757153
9265294,206084,0,0.5
1446467,2410676,1,0.7310585786300049
10969551,12296490,1,0.7310585786300049
8271291,14204295,1,0.7310585786300049
27494663,206084,0,0.5
321278,4580780,1,0.7310585786300049
658518,1254497,0,0.5
26399616,26119962,0,0.5
7691631,23096959,3,0.9525741268224334
23096959,7691631,0,0.5
7691631,20580498,0,0.5
2893713,108278,0,0.5
26992831,206084,0,0.5
13739356,10037542,2,0.8807970779778823
28155823,18023059,2,0.8807970779778823
24336212,25104780,0,0.5
1090311,24894912,0,0.5
729744,671825,16,0.9999998874648379
27494663,7691631,1,0.7310585786300049
11167738,28062827,2,0.8807970779778823
11617504,11924873,0,0.5
238972,363387,2,0.8807970779778823
5721837,1419138,0,0.5
28669836,17301522,0,0.5
238972,1252,0,0.5
7099729,2163263,0,0.5
5373551,7480345,0,0.5
168370,722201,0,0.5
589584,616448,0,0.5
12244838,4331833,0,0.5
3447593,22942790,0,0.5
1402936,4090287,0,0.5
