Source,Target,Sigmoid
203666,28643625,0.0022272358296390074
25126616,16241224,0.0018856317120955145
15171934,3623050,0.0005329417038212735
24560307,5932749,0.0007289999994472312
2935735,4591033,0.0007289878246634727
9461481,28366058,0.0019725306420462856
25537901,25538333,0.0005329417038212735
4025121,16851127,0.0021403368994862533
10969551,8711353,0.0024251209116760374
24560307,13346571,0.0007289878246634727
1857825,2410676,0.0006421010698458761
11421378,167174,0.0006944265384535538
11421378,3955647,0.0006421010698458761
8843683,1787757,0.0005329417038212735
671825,729744,0.02184845964911759
17784299,21548299,0.0005329417038212735
206084,26992831,0.0005329417038212735
9530789,9325315,0.0005329417038212735
9325315,9530789,0.046751116992143855
1801829,2649031,0.0019379571807031917
11808187,5187096,0.0005329417038212735
588600,71019,0.0006421010698458761
9461481,7691631,0.0019379571807031917
11589713,9461481,0.0021403368994862533
11778024,16819795,0.0006421010698458761
714074,14663768,0.0006421010698458761
14159669,3623050,0.02035971219151251
19294390,9029977,0.0005329417038212735
21357099,321278,0.0005329417038212735
2081289,14448779,0.024708861387555167
10707658,16297763,0.0024235712135945208
27022174,2476855,0.0006421010698458761
8569918,9615328,0.0006421010698458761
606956,128476,0.060359438965114906
28366058,7691631,0.021914891327590308
7786818,3038446,0.2599108299260494
17752746,3016562,0.0006421010698458761
22521888,10616272,0.0006421010698458761
238972,13347640,0.007745544800484351
13512328,11225014,0.0017764723460709118
104937,27,0.0005329417038212735
15601851,23899906,0.0007158880529376351
2351391,2351384,0.0005329417038212735
108278,15090814,0.0006421010698458761
14981376,1181927,0.5304321143177393
2014929,1385122,0.6657962482571257
9403933,23198783,0.0005329417038212735
8962829,14169882,0.0024299998475415282
24835467,22187098,0.0005329417038212735
5710178,5710341,0.0006421010698458761
843222,654608,0.05177914572950417
27193779,3342055,0.2682146553949492
9265294,206084,0.0005329417038212735
1446467,2410676,0.046772578506627936
10969551,12296490,0.7457131555137961
8271291,14204295,0.0007158880529376351
27494663,206084,0.0006421010698458761
321278,4580780,0.014532895189044723
658518,1254497,0.0006421010698458761
26399616,26119962,0.0005329417038212735
7691631,23096959,0.27184284531177066
23096959,7691631,0.9408692640217862
7691631,20580498,0.6360111822226051
2893713,108278,0.0006421010698458761
26992831,206084,0.0005329417038212735
13739356,10037542,0.004873857670587016
28155823,18023059,0.002314755128178513
24336212,25104780,0.0005329417038212735
1090311,24894912,0.0006944265384535538
729744,671825,0.025428365718356372
27494663,7691631,0.16105797125574178
11167738,28062827,0.048279047195006884
11617504,11924873,0.0006944265384535538
238972,363387,0.5139443522016791
5721837,1419138,0.0005329417038212735
28669836,17301522,0.0006944265384535538
238972,1252,0.0005329417038212735
7099729,2163263,0.0006944265384535538
5373551,7480345,0.0005329417038212735
168370,722201,0.0006421010698458761
589584,616448,0.0005329417038212735
12244838,4331833,0.0005329417038212735
